ts_us,asset,expiry_us,strike,opt_type,mark_iv,bid_iv,ask_iv,mark_price,underlying_price,delta,open_interest
1761958797456000,eth,1762502400000000,4250,call,60.01,58.95,60.55,0.0042,3850.61,0.11252,3486.0
1761958798463000,eth,1762502400000000,3700,call,62.55,60.6,64.99,0.0554,3850.61,0.70086,949.0
1761958797456000,eth,1762243200000000,4100,call,52.93,51.38,54.22,0.0026,3848.3317,0.10838,177.0
1761958799470000,eth,1762243200000000,3750,call,54.6,44.69,58.56,0.0357,3848.3117,0.70021,18.0
1761958798463000,eth,1762156800000000,4000,call,47.9,46.4,49.03,0.0031,3847.5756,0.15752,206.0
1761958799470000,eth,1762156800000000,3725,call,50.98,20.76,72.64,0.0366,3847.5456,0.79431,21.0
1761958795442000,eth,1769760000000000,4800,call,67.9,67.36,68.48,0.0605,3889.1077,0.32483,30.0
1761958795442000,eth,1769760000000000,3600,call,68.27,67.57,68.93,0.1703,3889.1077,0.65442,5.0
1761958798463000,eth,1762070400000000,4200,call,54.59,,66.94,0.0,3846.8096,0.00359,89.0
1761958796449000,eth,1762070400000000,3875,call,39.55,36.45,40.86,0.0062,3846.7637,0.38245,479.0
1761958795442000,eth,1762070400000000,3400,call,74.16,,252.86,0.1162,3846.7637,0.9976,0.0
1761958796449000,eth,1774598400000000,7000,call,72.08,71.49,72.51,0.0289,3914.77,0.14793,9730.0
1761958795442000,eth,1774598400000000,5200,call,68.88,68.47,69.34,0.0769,3914.77,0.3325,2592.0
1761958795442000,eth,1774598400000000,3400,call,68.94,68.33,69.47,0.2353,3914.77,0.70583,12745.0
1761958798463000,eth,1774598400000000,1500,call,85.89,80.91,87.59,0.6219,3914.75,0.97913,468.0
1761958795442000,eth,1782460800000000,7200,call,71.42,70.99,71.81,0.0585,3959.89,0.22652,470.0
1761958795442000,eth,1782460800000000,5400,call,69.06,68.68,69.49,0.1152,3959.89,0.39024,473.0
1761958795442000,eth,1782460800000000,3500,call,68.55,67.98,69.04,0.2681,3959.88,0.69136,219.0
1761958795442000,eth,1782460800000000,15000,call,80.79,80.58,81.26,0.0092,3959.88,0.04281,1878.0
1761958798463000,eth,1782460800000000,1000,call,88.85,83.99,90.66,0.7511,3959.89,0.98867,455.0
1761958795442000,eth,1790323200000000,9000,call,72.82,72.0,73.85,0.0592,4009.08,0.20452,822.0
1761958795442000,eth,1790323200000000,6200,call,69.75,69.15,70.41,0.1221,4009.07,0.37132,1009.0
1761958796449000,eth,1790323200000000,4000,call,68.37,67.8,68.91,0.2551,4009.07,0.62843,36.0
1761958796449000,eth,1763712000000000,4400,call,64.85,64.05,64.78,0.0175,3856.76,0.21611,733.0
1761958799470000,eth,1763712000000000,3750,call,66.04,64.92,67.12,0.076,3856.685,0.6018,30.0
1761958795442000,eth,1761984000000000,4100,call,68.65,,97.74,0.0,3845.9944,0.00051,668.0
1761958796449000,eth,1761984000000000,3825,call,38.32,26.71,42.45,0.0076,3846.0444,0.69566,374.0
1761958798915000,btc,1762243200000000,112000,call,29.61,28.57,29.94,0.0039,109746.0706,0.23922,3.3
1761958798915000,btc,1762156800000000,118000,call,34.81,,42.75,0.0,109726.4419,0.00437,33.0
1761958799922000,btc,1762156800000000,106000,call,31.34,,39.18,0.0349,109726.2591,0.9198,0.6
1761958799922000,btc,1769760000000000,124000,call,43.73,43.25,43.79,0.0454,111258.1854,0.34837,3.6
1761958798631000,btc,1769760000000000,102000,call,45.97,45.39,46.52,0.135,111258.0262,0.68946,1.0
1761958798915000,btc,1762070400000000,115000,call,35.51,,35.67,0.0001,109706.3424,0.01319,84.9
1761958797908000,btc,1762070400000000,104000,call,41.71,,234.12,0.0521,109705.8844,0.9848,0.0
1761958797908000,btc,1763712000000000,125000,call,40.3,39.84,40.83,0.0042,110003.095,0.09721,160.3
1761958798915000,btc,1763712000000000,108000,call,40.87,40.46,41.55,0.0479,110003.41,0.59442,20.4
1761958797885000,btc,1761984000000000,114000,call,48.67,,63.21,0.0,109686.2429,0.00258,105.7
1761958799888000,btc,1761984000000000,102000,call,74.19,,558.02,0.0701,109685.2348,0.99974,0.8
1761958795442000,eth,1766736000000000,7000,call,77.37,76.21,78.23,0.0037,3873.14,0.03478,59853.0
1761958797908000,btc,1762243200000000,112000,put,29.61,24.45,33.11,0.0244,109746.0706,-0.76078,7.0
1761958799922000,btc,1762156800000000,118000,put,34.81,,215.2,0.0754,109726.2591,-0.99563,0.0
1761958798915000,btc,1762156800000000,106000,put,31.34,30.36,32.07,0.0009,109726.4419,-0.08019,51.6
1761958797908000,btc,1762070400000000,115000,put,35.51,,246.3,0.0483,109705.8844,-0.98681,7.7
1761958798915000,btc,1762070400000000,104000,put,41.71,40.02,44.21,0.0001,109706.3424,-0.01519,110.7
1761958799888000,btc,1761984000000000,114000,put,48.67,,100.47,0.0393,109685.2348,-0.99743,59.1
1761958795883000,btc,1761984000000000,102000,put,74.19,,110.19,0.0,109685.7901,-0.00026,319.1
1761958795442000,eth,1762502400000000,4250,put,60.01,,169.47,0.1079,3850.66,-0.88745,72.0
1761958796449000,eth,1762502400000000,3700,put,62.56,60.86,63.06,0.0163,3850.64,-0.29911,8589.0
1761958799470000,eth,1762243200000000,4100,put,52.93,,186.03,0.068,3848.3117,-0.89164,0.0
1761958799470000,eth,1762243200000000,3750,put,54.6,52.66,55.7,0.0101,3848.3117,-0.29979,51.0
1761958799470000,eth,1762156800000000,4000,put,47.9,,116.06,0.0427,3847.5456,-0.84253,2.0
